credit.policy,LoanPurpose,int.rate,MonthlyDebtPayments,LogAnnualIncome,dti,fico,LengthOfCreditHistory,revol.bal,CreditCardUtilizationRate,inq.last.6mths,PreviousLoanDefaults,pub.rec,not.fully.paid,HasDefaults,HasBankruptcy,fully.paid
1,Debt_Consolidation,0.1189,829.1,11.35040654,19.48,737,15,28854,0.521,0,0,0,0,0,0,1
1,Other,0.1071,228.22,11.08214255,14.29,707,8,33623,0.767,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1357,366.86,10.37349118,11.63,682,13,3511,0.256,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1008,162.34,11.35040654,8.1,712,7,33667,0.732,1,0,0,0,0,0,1
1,Other,0.1426,102.92,11.29973224,14.97,667,11,4740,0.395,0,1,0,0,1,0,1
1,Other,0.0788,125.13,11.90496755,16.98,727,17,50807,0.51,0,0,0,0,0,0,1
1,Debt_Consolidation,0.1496,194.02,10.71441777,4.0,667,9,3839,0.768,0,0,1,1,0,1,0
1,Other,0.1114,131.22,11.00209984,11.08,722,14,24220,0.6859999999999999,0,0,0,1,0,0,0
1,Home,0.1134,87.19,11.40756495,17.25,682,11,69909,0.511,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1221,84.12,10.20359214,10.0,707,7,5630,0.23,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1347,360.43,10.4341158,22.09,677,18,13846,0.71,2,0,1,0,0,1,1
1,Debt_Consolidation,0.1324,253.58,11.83500896,9.16,662,12,5122,0.182,2,1,0,0,1,0,1
1,Debt_Consolidation,0.0859,316.11,10.93310697,15.49,767,18,6068,0.1669999999999999,0,0,0,0,0,0,1
1,Other,0.0714,92.82,11.51292546,6.5,747,12,3021,0.048,0,1,0,0,1,0,1
1,Debt_Consolidation,0.0863,209.54,9.487972109,9.73,727,4,6282,0.446,0,0,0,0,0,0,1
1,Other,0.1103,327.53,10.73891524,13.04,702,22,5394,0.534,1,0,0,0,0,0,1
1,Other,0.1317,77.69,10.52277288,2.26,672,11,2211,0.884,0,0,0,0,0,0,1
1,Other,0.0894,476.58,11.60823564,7.07,797,18,7586,0.527,1,0,0,0,0,0,1
1,Debt_Consolidation,0.1039,584.12,10.49127422,3.8,712,8,8311,0.598,0,0,0,0,0,0,1
1,Other,0.1513,173.65,11.00209984,2.74,667,3,591,0.8440000000000001,3,0,0,0,0,0,1
